Wavelength,OD,OD,OD,OD,OD,OD,OD,OD,OD,OD
nm,result_Lumilog_STINS_GaN_on_Sapphire,result_InN_InSaN_10nm_barrier_J130828_1_Messy_16,result_InN_InSaN_3nm_barrier_J140228_Messy_12,result_InN_InGaN_10nm_barrier_Sapphire_edge_J130828,result_InN_InGaN_3nm_barrier_Sapphire_edge_J140228,result_B120504_InGaN_T=1.04um,result_B111205_InN_center,result_B111205_InN(1.4um)_STINS_edge,result_B111205_InN(1.4um)_STINS_center,result_B111205_InN(1.4um)_Sapphire_edge
1226.912,0.37555614,0.66382557,1.091317866,0.696389416,1.026079574,1.108495911,2.946927073,2.61164665,3.040640942,1.922184311
1228.916,0.374825767,0.663543341,1.070870257,0.695489034,1.018164012,1.101278861,2.710860781,2.659252024,2.917308441,1.898054856
1230.919,0.372425127,0.661631593,1.066785266,0.690465932,0.994468673,1.074616996,2.770299096,2.666431797,2.844536947,1.877442443
1232.922,0.371246398,0.659507564,1.047044454,0.687658993,0.988465026,1.068557834,2.707501212,2.616278445,2.810867794,1.870047022
1234.925,0.366973685,0.659778971,1.044730581,0.679406083,0.963100986,1.041226407,2.753723587,2.480522381,2.704656913,1.833389334
1236.927,0.365427094,0.658492513,1.026067696,0.676279199,0.959746007,1.037155264,2.757686231,2.4333672,2.792105308,1.830873558
1238.928,0.359058399,0.654006091,1.026699505,0.663371776,0.938497289,1.012505556,2.700664031,2.463417457,2.726661067,1.791037349
1240.929,0.357270722,0.653105389,1.006432012,0.660821091,0.938474072,1.009991869,2.733500969,2.527860954,2.842031594,1.797804187
1242.93,0.350208543,0.646497753,1.000938382,0.644310908,0.916623595,0.985493608,2.67990322,2.541269785,2.730006655,1.760423748
1244.93,0.348772464,0.645885866,0.979301277,0.642025549,0.912496848,0.979188406,2.764739532,2.496714362,2.75318853,1.760033847
1246.93,0.340570156,0.632349081,0.973678438,0.621813762,0.892862298,0.954704507,2.674276145,2.450167933,2.68129758,1.726177385
